championId,win,ban,version
48,0,25,8.8
81,1,121,8.8
498,1,7,8.8
51,1,27,8.8
154,1,28,8.8
12,0,28,8.8
51,0,164,8.8
497,1,-1,8.8
92,0,14,8.8
72,1,164,8.8
43,1,28,8.8
163,0,145,8.8
164,1,13,8.8
39,0,412,8.8
145,0,25,8.8
141,0,267,8.8
81,1,51,8.8
51,1,-1,8.8
142,1,51,8.8
51,1,121,8.8
150,1,498,8.8
497,1,51,8.8
8,0,25,8.8
51,0,7,8.8
8,0,498,8.8
2,1,121,8.8
48,0,-1,8.8
69,0,50,8.8
43,0,516,8.8
28,1,24,8.8
113,0,-1,8.8
157,1,5,8.8
25,1,7,8.8
69,1,20,8.8
12,0,498,8.8
113,0,145,8.8
113,0,12,8.8
136,1,121,8.8
40,0,268,8.8
497,0,13,8.7
90,1,164,8.7
39,0,25,8.7
223,1,498,8.7
51,0,39,8.7
72,1,-1,8.7
121,1,25,8.7
15,1,-1,8.7
24,1,164,8.7
30,1,14,8.7
114,1,121,8.7
161,0,121,8.7
3,1,27,8.7
34,1,-1,8.7
110,1,-1,8.7
154,0,497,8.7
51,0,154,8.7
13,0,69,8.7
24,0,25,8.7
8,0,-1,8.7
157,0,2,8.7
498,0,28,8.7
51,1,13,8.7
13,1,25,8.7
114,1,2,8.7
27,1,41,8.7
157,1,24,8.7
81,1,3,8.7
39,0,41,8.7
5,1,41,8.7
245,0,145,8.7
18,1,41,8.7
42,1,145,8.7
58,0,164,8.7
429,0,48,8.7
76,0,223,8.7
24,1,41,8.7
39,1,76,8.7
24,0,498,8.7
4,0,223,8.7
41,0,24,8.7
164,0,41,8.7
72,1,81,8.7
240,0,497,8.7
51,1,5,8.7
38,0,-1,8.7
51,0,-1,8.7
268,1,157,8.7
127,0,142,8.7
13,0,28,8.7
498,0,76,8.8
3,0,12,8.8
202,1,-1,8.8
91,0,25,8.8
164,0,81,8.8
8,1,-1,8.8
202,0,121,8.8
268,0,113,8.8
81,1,145,8.8
14,0,51,8.8
13,1,25,8.8
81,0,9,8.8
157,1,25,8.8
81,0,27,8.8
48,1,81,8.8
67,0,39,8.8
2,1,24,8.8
164,0,25,8.8
121,1,-1,8.8
18,0,-1,8.8
498,0,-1,8.8
18,1,25,8.8
72,0,76,8.8
223,0,-1,8.8
12,0,76,8.8
13,0,114,8.8
69,1,145,8.8
202,0,23,8.8
254,1,-1,8.8
69,0,41,8.8
43,0,25,8.8
2,0,25,8.8
498,0,121,8.8
203,1,121,8.8
38,1,8,8.8
24,1,498,8.8
